wahlbezirk_nr,wahlbezirk,Wahlb. ohne Sperrv.,Wahlb. mit Sperrv.,Wahlb. nachß9,wahlb_insges,W‰hler insgesamt,dav. mit Wahl-schein,Ung¸lt. Stimmen,gueltige_stimmen,cdu,spd,gruene,fdp,uwg_ms,die_linke,oedp,Seemann (Einzelbew.),Schulte (Einzelbew.),piraten
311,Heekweg,703,134,0,837,207,0,1,206.0,53,43,56,24,4,16,0,-,-,10
312,N¸nningweg,892,258,0,115,534,0,1,533.0,202,110,131,49,7,22,7,-,-,5
313,Ramertsweg,887,198,0,1085,577,0,1,576.0,235,119,127,44,19,12,7,-,-,13
314,Dieckmannstraﬂe,1.544,164,0,1708,710,0,7,703.0,251,143,169,62,26,25,6,-,-,21
315,Doornbeckeweg,769,137,0,906,406,0,5,401.0,165,100,73,29,10,7,6,-,-,11
B531,Brief Gievenbeck-S¸d 1,0,0,0,0,414,0,0,414.0,165,96,94,32,5,4,6,-,-,12
B631,Brief Gievenbeck-S¸d 2,0,0,0,0,401,0,1,400.0,173,87,81,34,5,9,3,-,-,8
31,Gievenbeck-S¸d ges.,4.795,891,0,5686,3249,0,16,3233.0,1244,698,731,274,76,95,35,-,-,80
321,Legdenweg,1.408,175,0,1583,507,0,2,505.0,131,159,108,36,15,28,7,-,-,21
322,Gievenbecker Weg,813,184,0,997,449,0,3,446.0,140,118,90,55,10,8,12,-,-,13
323,Potstiege,1.245,285,0,153,679,0,5,674.0,231,173,97,110,8,32,3,-,-,20
324,Twenteweg,1.019,192,0,1211,447,0,3,444.0,147,92,91,62,13,16,17,-,-,6
325,Gescherweg,789,175,0,964,257,0,0,257.0,51,74,69,31,2,13,1,-,-,16
B532,Brief Gievenbeck-Nord 1,0,0,0,0,491,0,6,485.0,179,99,100,57,16,13,6,-,-,15
B632,Brief Gievenbeck-Nord 2,0,0,0,0,438,0,1,437.0,163,96,61,78,10,8,9,-,-,12
32,Gievenbeck-Nord ges.,5.274,1.011,0,6285,3268,0,20,3248.0,1042,811,616,429,74,118,55,-,-,103
331,H‰ger,685,99,0,784,440,0,3,437.0,206,44,48,39,79,6,1,-,-,14
332,Sebastianstraﬂe,1.391,298,0,1689,749,0,6,743.0,328,168,93,103,16,10,4,-,-,21
333,Stefan-Zweig-Straﬂe,1.104,281,0,1385,593,0,7,586.0,280,120,87,49,17,18,0,-,-,15
334,Von-Schonebeck-Ring,1.136,285,0,1421,625,0,9,616.0,261,143,83,64,20,20,2,-,-,23
B533,Brief Nienberge 1,0,0,0,0,352,0,3,349.0,163,74,49,24,19,3,5,-,-,12
B633,Brief Nienberge 2,0,0,0,0,541,0,2,539.0,281,77,63,70,18,16,2,-,-,12
33,Nienberge ges.,4.316,963,0,5279,33,0,30,3270,1519,626,423,349,169,73,14,-,-,97
011,Jüdefelderstraﬂe,918,195,0,1113,431,0,3,428.0,135,93,123,37,2,20,4,-,-,14
012,Spiekerhof,715,432,0,1147,387,0,2,385.0,185,58,74,37,4,8,4,-,-,15
013,Sonnenstraﬂe,772,248,0,102,384,0,0,384.0,154,78,87,33,6,10,2,-,-,14
014,Prinzipalmarkt,953,399,0,1352,448,0,2,446.0,154,104,88,55,8,10,3,-,-,24
015,Aegidii,900,227,0,1127,440,0,3,437.0,147,106,101,43,6,9,1,-,-,24
016,Überwasser,790,222,0,1012,367,0,1,366.0,132,80,98,20,4,16,6,-,-,10
021,Kapuzinerstraﬂe,1.258,294,0,1552,548,0,3,545.0,183,121,135,54,10,20,1,-,-,21
022,Marientalstraﬂe,887,230,0,1117,507,0,3,504.0,123,137,152,39,6,24,2,-,-,21
023,Schulstraﬂe,999,275,0,1274,560,0,2,558.0,136,153,167,43,7,27,5,-,-,20
024,Schloss,1.112,387,0,1499,588,0,3,585.0,220,107,122,79,11,17,2,-,-,27
025,Wilhelmstraﬂe,958,284,0,1242,439,0,8,431.0,126,101,122,38,7,18,1,-,-,18
031,Finkenstraﬂe,894,243,0,1137,580,0,3,577.0,174,137,166,41,3,31,4,-,-,21
032,Tannenbergstraﬂe,946,243,0,1189,518,0,2,516.0,101,158,189,21,6,23,5,-,-,13
033,Siverdesstraﬂe,891,244,0,1135,457,0,3,454.0,101,118,159,24,3,21,7,-,-,21
034,Coerdestraﬂe,819,226,0,1045,484,0,1,483.0,135,122,133,47,7,14,4,-,-,21
035,Hoyastraﬂe,1.083,344,0,1427,661,0,2,659.0,204,145,205,55,5,25,3,-,-,17
036,Gertrudenstraﬂe,985,296,0,1281,633,0,3,630.0,192,145,173,52,5,31,12,-,-,20
041,Holsteiner Straﬂe,898,250,0,1148,498,0,2,496.0,169,134,99,38,8,23,13,-,-,12
042,Mecklenburger Straﬂe,632,165,0,797,364,0,2,362.0,113,93,90,26,9,17,3,-,-,11
043,Staufenstraﬂe,997,258,0,1255,522,0,3,519.0,117,143,169,44,5,20,2,-,-,19
044,Overbergstraﬂe,705,191,0,896,382,0,1,381.0,73,102,154,17,5,18,2,-,-,10
045,Landeshaus,743,246,0,989,427,0,0,427.0,147,107,102,35,2,17,2,-,-,15
046,Zeppelinstraﬂe,1.057,232,0,1289,506,0,4,502.0,116,156,131,47,4,30,4,-,-,14
047,Gartenstraﬂe,1.267,314,0,1581,683,0,3,680.0,236,159,168,54,10,26,7,-,-,20
051,Salzmannstraﬂe,1.178,157,0,1335,453,0,2,451.0,115,125,130,29,9,22,3,-,-,18
052,Nevinghoff/Flandernstraﬂe,803,232,0,1035,372,0,2,370.0,110,94,94,27,6,28,2,-,-,9
053,Rumphorstweg,854,322,0,1176,499,0,5,494.0,165,123,118,37,14,17,8,-,-,12
054,Uppenkampstiege,675,245,0,920,449,0,5,444.0,167,84,103,58,6,9,4,-,-,13
055,Kinderhauser Straﬂe,1.467,305,0,1772,521,0,2,519.0,132,131,146,51,7,25,8,-,-,19
056,Dreizehnerstraﬂe,1.189,168,0,1357,580,0,5,575.0,120,173,180,39,10,35,5,-,-,13
061,Hoppengarten,1.037,306,0,1343,744,0,3,741.0,227,172,248,43,11,10,30,-,-,-
062,Saarstraﬂe,1.31,335,0,1645,766,0,2,764.0,249,208,215,36,13,32,11,-,-,-
063,Ostmarkstraﬂe,1.196,247,0,1443,592,0,1,591.0,144,148,188,50,13,34,14,-,-,-
064,Pˆtterhoek,1.084,247,0,1331,572,0,8,564.0,186,186,130,28,12,16,6,-,-,-
065,Kˆsliner Straﬂe,1.069,265,0,1334,567,0,2,565.0,176,174,136,38,6,27,8,-,-,-
071,Kirchstraﬂe,1.26,340,0,16,732,0,1,731.0,215,186,243,45,10,15,17,-,-,-
072,Dechaneistraﬂe,800,251,0,1051,468,0,3,465.0,149,127,129,35,3,18,4,-,-,-
073,Prozessionsweg,929,300,0,1229,593,0,6,587.0,249,109,153,53,8,12,3,-,-,-
074,Oststraﬂe,1.004,234,0,1238,580,0,2,578.0,125,161,215,33,6,33,5,-,-,-
075,Zumsandestraﬂe,1.076,300,0,1376,557,0,3,554.0,131,161,193,35,6,26,2,-,-,-
081,Mauritz-Lindenweg,809,383,0,1192,558,0,5,553.0,289,124,95,24,2,12,4,-,-,3
082,Mindener Straﬂe,1.161,242,0,1403,619,0,1,618.0,192,172,163,40,2,23,5,-,-,21
083,Lambertistraﬂe,1.355,274,0,1629,632,0,4,628.0,139,147,211,57,7,33,3,-,-,31
084,Hansaplatz,1.102,263,0,1365,513,0,1,512.0,100,148,176,30,1,31,2,-,-,24
085,Sophienstraﬂe,1.288,302,0,159,602,0,6,596.0,124,170,215,28,4,29,4,-,-,22
091,Bahnhofstraﬂe,1.343,304,0,1647,595,0,5,590.0,149,149,170,34,8,39,3,2,3,33
092,Bremer Platz,1.414,318,0,1732,626,0,7,619.0,117,163,211,41,7,42,3,4,3,28
093,Bremer Straﬂe,550,115,0,665,221,0,3,218.0,28,65,67,11,0,25,1,2,2,17
094,Josef,1.073,299,0,1372,561,0,5,556.0,167,158,150,29,5,20,3,0,3,21
095,Antoniuskirche,1.112,336,0,1448,552,0,1,551.0,117,167,163,51,5,23,0,2,0,23
101,Zumbroockstraﬂe,801,171,0,972,394,0,8,386.0,92,113,120,20,5,17,2,-,-,17
102,Hafen,658,124,0,782,300,0,2,298.0,57,58,124,20,1,15,1,-,-,22
103,Alfred-Krupp-Weg,1.07,169,0,1239,401,0,1,400.0,106,158,68,19,5,25,5,-,-,14
104,Herdingstraﬂe,951,132,0,1083,376,0,5,371.0,82,114,91,27,13,23,4,-,-,17
105,Dahlweg,910,144,0,1054,462,0,5,457.0,81,166,133,24,5,20,9,-,-,19
106,Scheibenstraﬂe,781,193,0,974,353,0,2,351.0,89,92,123,20,5,10,3,-,-,9
107,Kronprinzenstraﬂe,988,185,0,1173,551,0,5,546.0,107,190,171,35,6,14,7,-,-,16
111,Antoniusstraﬂe,755,165,0,920,390,0,2,388.0,142,111,82,39,1,11,2,-,-,-
112,Hornstraﬂe,704,198,0,902,387,0,1,386.0,93,119,123,28,9,13,1,-,-,-
113,Weiﬂenburgstraﬂe,1.225,222,0,1447,589,0,3,586.0,159,178,176,24,7,31,11,-,-,-
114,Oberschlesier Straﬂe,1.196,191,0,1387,520,0,7,513.0,117,176,130,22,12,50,6,-,-,-
115,Gr¸ner Grund,1.136,199,0,1335,578,0,7,571.0,112,185,197,33,6,30,8,-,-,-
116,Turmstraﬂe,1.037,280,0,1317,649,0,4,645.0,229,136,191,42,11,28,8,-,-,-
121,Scharnhorststraﬂe,1.239,354,0,1593,580,0,5,575.0,185,144,170,50,5,16,5,-,-,-
122,Pluggendorf,1.298,389,0,1687,607,0,5,602.0,256,141,134,36,8,22,5,-,-,-
123,Goerdelerstraﬂe,898,243,0,1141,363,0,1,362.0,111,114,74,25,7,27,4,-,-,-
124,Stephanuskirchplatz,761,184,0,945,399,0,4,395.0,140,122,77,30,3,20,3,-,-,-
125,Lange Ossenbeck,1.009,280,0,1289,515,0,1,514.0,196,165,103,28,1,19,2,-,-,-
126,Delpstraﬂe,635,241,0,876,433,0,4,429.0,202,83,97,32,3,8,4,-,-,-
131,Els‰sser Straﬂe,1.274,243,0,1517,693,0,2,691.0,161,202,219,54,12,42,1,-,-,-
132,Spichernstraﬂe,1.279,208,0,1487,644,0,9,635.0,206,216,117,60,14,20,2,-,-,-
133,Sternbusch,1.075,271,0,1346,617,0,2,615.0,227,178,143,41,11,13,2,-,-,-
134,Kriegerweg,818,188,0,1006,388,0,4,384.0,131,158,52,20,8,14,1,-,-,-
135,Clemenshospital,1.283,336,0,1619,647,0,3,644.0,276,193,88,47,17,16,7,-,-,-
B501,Brief Altstadt 1,0,0,0,0,722,0,1,721.0,363,120,119,68,17,8,5,-,-,21
B601,Brief Altstadt 2,0,0,0,0,818,0,5,813.0,461,130,112,64,14,11,3,-,-,18
B502,Brief Schloss 1,0,0,0,0,743,0,4,739.0,236,187,183,90,3,19,0,-,-,21
B602,Brief Schloss 2,0,0,0,0,632,0,3,629.0,254,134,108,93,7,15,3,-,-,15
B503,Brief Kreuz 1,0,0,0,0,687,0,1,686.0,297,146,138,65,6,14,2,-,-,18
B603,Brief Kreuz 2,0,0,0,0,816,0,8,808.0,313,154,184,88,9,34,10,-,-,16
B504,Brief Piusallee 1,0,0,0,0,828,0,18,810.0,299,176,215,60,13,24,11,-,-,12
B604,Brief Piusallee 2,0,0,0,0,747,0,4,743.0,288,175,151,80,15,14,0,-,-,20
B505,Brief Uppenberg 1,0,0,0,0,668,0,5,663.0,253,155,133,60,11,17,8,-,-,26
B605,Brief Uppenberg 2,0,0,0,0,632,0,0,632.0,232,132,155,67,8,10,2,-,-,26
B506,Brief Rumphorst 1,0,0,0,0,610,0,3,607.0,253,120,138,48,12,21,15,-,-,-
B606,Brief Rumphorst 2,0,0,0,0,711,0,4,707.0,284,162,147,61,11,34,8,-,-,-
B507,Brief Mauritz-Mitte 1,0,0,0,0,840,0,6,834.0,348,162,170,109,14,24,7,-,-,-
B607,Brief Mauritz-Mitte 2,0,0,0,0,499,0,2,497.0,134,112,167,56,7,18,3,-,-,-
B508,Brief Herz-Jesu 1,0,0,0,0,759,0,4,755.0,356,129,160,58,6,29,7,-,-,10
B608,Brief Herz-Jesu 2,0,0,0,0,537,0,3,534.0,150,121,175,41,4,22,3,-,-,18
B509,Brief Pluggendorf/Bahnhof 1,0,0,0,0,567,0,2,565.0,183,131,147,38,6,19,5,7,0,29
B609,Brief Pluggendorf/Bahnhof 2,0,0,0,0,707,0,1,706.0,229,195,161,48,10,20,7,2,7,27
B510,Brief Sch¸tzenhof/Hafen 1,0,0,0,0,426,0,2,424.0,139,111,114,23,8,14,3,-,-,12
B610,Brief Sch¸tzenhof/Hafen 2,0,0,0,0,619,0,1,618.0,193,182,154,39,7,18,6,-,-,19
B511,Brief Geist/Pluggendorf 1,0,0,0,0,614,0,1,613.0,247,125,125,78,22,11,5,-,-,-
B611,Brief Geist/Pluggendorf 2,0,0,0,0,562,0,4,558.0,184,150,133,31,19,34,7,-,-,-
B512,Brief Aaseestadt 1,0,0,0,0,709,0,3,706.0,303,163,152,66,9,9,4,-,-,-
B612,Brief Aaseestadt 2,0,0,0,0,908,0,5,903.0,452,203,125,74,13,25,11,-,-,-
B513,Brief D¸esberg 1,0,0,0,0,420,0,4,416.0,156,119,76,45,9,8,3,-,-,-
B613,Brief D¸esberg 2,0,0,0,0,740,0,4,736.0,359,172,78,73,20,28,6,-,-,-
1,Mitte ges.,74.098,18.845,0,92943,55695,0,339,55356.0,18178,1406,14172,436,779,2.115,504,19,18,1.151
141,Schulzentrum Kinderhaus,629,78,0,707,297,0,2,295.0,118,95,33,28,5,11,0,-,-,5
142,Idenbrockplatz,747,101,0,848,263,0,1,262.0,108,69,33,29,5,15,1,-,-,2
143,Neuer Heidkamp,894,200,0,1094,455,0,4,451.0,114,163,99,39,5,21,0,-,-,10
144,Helmholtzweg,540,153,0,693,333,0,2,331.0,121,95,78,24,1,3,3,-,-,6
145,Fernholzstraﬂe,1.04,326,0,1366,642,0,2,640.0,197,235,132,42,15,8,2,-,-,9
146,Br¸ningheide,865,85,0,950,291,0,4,287.0,116,93,30,20,11,14,1,-,-,2
147,Killingstraﬂe,789,26,0,815,177,0,2,175.0,48,85,15,6,7,11,0,-,-,3
151,Sprakeler Straﬂe,1.076,188,0,1264,631,0,5,626.0,359,148,37,45,7,20,5,-,-,5
152,Sandruper Straﬂe,740,103,0,843,344,0,1,343.0,174,78,39,23,5,17,3,-,-,4
153,Brˆderichweg,1.247,228,0,1475,655,0,5,650.0,243,184,99,57,15,27,7,-,-,18
154,Rektoratsweg,1.101,262,0,1363,474,0,2,472.0,139,173,92,27,10,22,2,-,-,7
155,Heidkˆttersweg,945,190,0,1135,444,0,6,438.0,158,135,57,35,14,29,4,-,-,6
156,Kristiansandstraﬂe,1.122,224,0,1346,522,0,2,520.0,216,117,97,44,16,18,4,-,-,8
161,Dachsleite,1.121,129,0,125,316,0,2,314.0,145,118,24,10,2,11,4,-,-,-
162,Kˆnigsberger Straﬂe,1.357,207,0,1564,392,0,8,384.0,128,115,49,36,6,40,10,-,-,-
163,An der Meerwiese,1.164,132,0,1296,448,0,4,444.0,126,155,88,38,7,27,3,-,-,-
164,Gˆrlitzer Straﬂe,857,154,0,1011,365,0,5,360.0,135,114,37,40,2,29,3,-,-,-
165,Breslauer Straﬂe,871,132,0,1003,335,0,4,331.0,155,100,23,24,2,21,6,-,-,-
166,Marderweg,965,63,0,1028,188,0,0,188.0,78,64,18,15,0,12,1,-,-,-
B514,Brief Kinderhaus-West 1,0,0,0,0,496,0,1,495.0,195,152,73,48,11,7,5,-,-,4
B614,Brief Kinderhaus-West 2,0,0,0,0,414,0,0,414.0,166,111,69,32,19,9,1,-,-,7
B515,Brief Kinderhaus-Ost/Sprakel 1,0,0,0,0,492,0,2,490.0,244,107,45,62,7,15,2,-,-,8
B615,Brief Kinderhaus-Ost/Sprakel 2,0,0,0,0,641,0,6,635.0,238,177,100,68,13,20,4,-,-,15
B516,Brief Coerde,0,0,0,0,772,0,5,767.0,361,181,85,80,12,32,16,-,-,-
171,Gelmer,1.204,187,0,1391,704,0,6,698.0,374,146,70,76,8,22,2,-,-,-
172,Dyckburgstraﬂe,1.044,288,0,1332,552,0,6,546.0,261,114,92,50,9,14,6,-,-,-
173,Birkenweg,824,201,0,1025,492,0,3,489.0,186,96,128,43,11,23,2,-,-,-
174,An der Konradkirche,848,294,0,1142,550,0,2,548.0,287,77,66,92,16,8,2,-,-,-
175,Maikottenhˆhe,676,205,0,881,459,0,1,458.0,183,82,84,44,55,7,3,-,-,-
181,Hornheide,776,142,0,918,447,0,4,443.0,202,120,55,35,12,14,5,-,-,-
182,Kasewinkel,747,247,0,994,513,0,1,512.0,247,112,47,54,11,7,34,-,-,-
183,Kr¸sbreede,832,200,0,1032,525,0,6,519.0,292,98,59,45,8,8,9,-,-,-
184,Heriburgstraﬂe,1.209,289,0,1498,755,0,5,750.0,340,220,87,54,14,15,20,-,-,-
185,Dorbaum,1.191,161,0,1352,656,0,5,651.0,245,217,60,57,40,19,13,-,-,-
191,Haus-Kleve-Weg,947,244,0,1191,545,0,6,539.0,273,109,68,58,8,13,3,-,-,7
192,Hegerskamp,1.355,262,0,1617,690,0,10,680.0,213,229,140,38,7,29,8,-,-,16
193,Damaschkeweg,877,169,0,1046,404,0,5,399.0,140,106,74,31,11,17,6,-,-,14
194,Franz-Grillparzer-Weg,1.141,254,0,1395,721,0,5,716.0,247,196,160,56,15,19,3,-,-,20
B517,Brief Gelmer/Dyckburg 1,0,0,0,0,458,0,1,457.0,236,88,57,57,2,9,8,-,-,-
B617,Brief Gelmer/Dyckburg 2,0,0,0,0,660,0,1,659.0,378,103,62,93,15,6,2,-,-,-
B518,Brief Handorf 1,0,0,0,0,546,0,1,545.0,282,118,43,78,6,7,11,-,-,-
B618,Brief Handorf 2,0,0,0,0,425,0,3,422.0,218,96,34,48,12,8,6,-,-,-
B519,Brief Mauritz-Ost 1,0,0,0,0,480,0,3,477.0,231,108,57,54,5,10,4,-,-,8
B619,Brief Mauritz-Ost 2,0,0,0,0,407,0,0,407.0,169,106,69,34,5,11,8,-,-,5
201,Bˆddingheideweg,1.372,267,0,1639,697,0,4,693.0,316,137,129,54,10,24,6,-,-,17
202,Delstrup,1.164,149,0,1313,733,0,5,728.0,391,125,138,39,4,18,7,-,-,6
203,Kranichweg,1.138,263,0,1401,652,0,4,648.0,358,125,98,46,1,7,2,-,-,11
204,Letterhausweg,922,142,0,1064,396,0,4,392.0,140,104,77,33,5,12,2,-,-,19
205,Biederlackweg,938,170,0,1108,542,0,6,536.0,262,142,73,31,3,12,1,-,-,12
206,L¸tkenbecker Weg,1.295,245,0,154,560,0,4,556.0,192,145,115,42,12,28,6,-,-,16
211,Kreuzbach,836,196,0,1032,503,0,2,501.0,266,122,65,27,4,6,2,-,-,9
212,Jochen-Klepper-Straﬂe,824,172,0,996,463,0,1,462.0,222,107,47,51,4,15,2,-,-,14
213,Zumbuschstraﬂe,959,191,0,115,504,0,4,500.0,222,159,51,42,6,14,1,-,-,5
214,Am Berler Kamp,1.202,302,0,1504,735,0,3,732.0,329,211,85,60,17,12,3,-,-,15
215,Hofstraﬂe,778,106,0,884,342,0,2,340.0,178,72,41,23,1,15,2,-,-,8
216,Hofkamp,1.12,318,0,1438,683,0,3,680.0,252,172,146,72,9,12,4,-,-,13
221,Angelstraﬂe,1.371,348,0,1719,949,0,3,946.0,470,173,180,88,8,25,2,-,-,-
222,Theodor-Heuss-Straﬂe,727,114,0,841,366,0,4,362.0,195,88,46,13,3,16,1,-,-,-
223,Bachstraﬂe,918,104,0,1022,246,0,4,242.0,93,72,35,18,5,19,0,-,-,-
224,Albersloher Weg,1.313,274,0,1587,666,0,5,661.0,318,152,87,63,10,27,4,-,-,-
225,Heidestraﬂe,1.025,154,0,1179,494,0,3,491.0,241,107,81,44,4,12,2,-,-,-
B520,Brief Gremmendorf 1,0,0,0,0,646,0,2,644.0,341,123,92,51,8,14,1,-,-,14
B620,Brief Gremmendorf 2,0,0,0,0,520,0,3,517.0,226,111,81,55,9,10,5,-,-,20
B521,Brief Wolbeck 1,0,0,0,0,522,0,1,521.0,260,117,59,63,6,5,3,-,-,8
B621,Brief Wolbeck 2,0,0,0,0,689,0,4,685.0,331,134,91,95,4,13,4,-,-,13
B522,Brief Angelmodde 1,0,0,0,0,435,0,2,433.0,246,63,56,54,6,7,1,-,-,-
B622,Brief Angelmodde 2,0,0,0,0,501,0,0,501.0,234,130,61,47,15,10,4,-,-,-
231,Siemensstraﬂe,685,129,0,814,282,0,2,280.0,90,100,39,28,2,18,3,-,-,-
232,Vennheideweg,897,188,0,1085,372,0,5,367.0,121,108,56,48,11,19,4,-,-,-
233,H¸nenburg,991,265,0,1256,501,0,7,494.0,207,125,61,69,2,22,8,-,-,-
234,Wielandstraﬂe,1.187,157,0,1344,633,0,4,629.0,233,187,117,50,5,27,10,-,-,-
235,Albertsheide,715,90,0,805,280,0,1,279.0,115,74,29,42,7,9,3,-,-,-
236,Hogenbergstraﬂe,1.118,127,0,1245,394,0,6,388.0,151,174,22,14,6,15,6,-,-,-
237,Am Berg Fidel,854,96,0,950,214,0,3,211.0,79,94,15,8,1,13,1,-,-,-
241,Ringstraﬂe,1.131,195,0,1326,664,0,3,661.0,295,195,94,44,6,24,3,-,-,-
242,Paul-Klee-Weg,819,177,0,996,479,0,2,477.0,227,132,58,50,4,5,1,-,-,-
243,Emil-Nolde-Weg,605,168,0,773,398,0,5,393.0,203,105,33,38,5,9,0,-,-,-
244,H¸lsheide,1.007,150,0,1157,472,0,2,470.0,196,155,52,47,1,15,4,-,-,-
245,Am Roggenkamp,1.097,158,0,1255,556,0,8,548.0,241,163,53,61,4,22,4,-,-,-
251,Geistkamp,1.212,382,0,1594,709,0,5,704.0,362,178,67,78,6,12,1,-,-,-
252,H¸lsebrockstraﬂe,1.345,310,0,1655,690,0,2,688.0,323,177,60,88,8,27,5,-,-,-
253,Marktallee,1.274,188,0,1462,550,0,5,545.0,240,145,57,61,14,23,5,-,-,-
254,Am Klosterwald,1.388,191,0,1579,608,0,4,604.0,220,181,99,69,14,13,8,-,-,-
255,Friedhofstraﬂe,1.439,230,0,1669,497,0,6,491.0,224,121,53,52,15,21,5,-,-,-
261,Loevelingloh,859,133,0,992,418,0,4,414.0,280,48,39,37,4,6,0,-,-,-
262,Theodor-Storm-Straﬂe,1.177,189,0,1366,599,0,4,595.0,257,139,90,75,12,20,2,-,-,-
263,Langestraﬂe,822,85,0,907,333,0,2,331.0,140,85,42,37,5,19,3,-,-,-
264,Hansestraﬂe,1.101,182,0,1283,532,0,5,527.0,239,122,91,43,13,17,2,-,-,-
265,Auf der Woort,1.94,272,0,2212,993,0,7,986.0,488,250,127,71,16,28,6,-,-,-
266,Pater-Kolbe-Straﬂe,1.128,214,0,1342,585,0,1,584.0,301,148,65,46,7,13,4,-,-,-
B523,Brief Berg Fidel 1,0,0,0,0,552,0,3,549.0,259,139,49,75,9,16,2,-,-,-
B623,Brief Berg Fidel 2,0,0,0,0,418,0,4,414.0,184,119,44,47,9,10,1,-,-,-
B524,Brief Hiltrup-Ost,0,0,0,0,798,0,5,793.0,370,205,82,98,13,22,3,-,-,-
B525,Brief Hiltrup-Mitte 1,0,0,0,0,587,0,1,586.0,351,104,37,79,7,7,1,-,-,-
B625,Brief Hiltrup-Mitte 2,0,0,0,0,583,0,11,572.0,281,134,46,74,17,16,4,-,-,-
B526,Brief Amelsb¸ren 1,0,0,0,0,530,0,6,524.0,254,86,70,84,11,16,3,-,-,-
B626,Brief Amelsb¸ren 2,0,0,0,0,457,0,1,456.0,254,102,40,46,6,6,2,-,-,-
271,Oberort,1.212,172,0,1384,709,0,6,703.0,400,164,50,64,4,14,7,-,-,-
272,Heroldstraﬂe,1.088,255,0,1343,637,0,3,634.0,271,136,140,62,4,17,4,-,-,-
273,Albachtener Straﬂe/Steinkuhle,1.415,235,0,165,718,0,3,715.0,328,210,72,65,14,21,5,-,-,-
274,In der Weede,1.104,199,0,1303,611,0,5,606.0,234,189,86,60,13,21,3,-,-,-
281,Dingb‰ngerweg,825,219,0,1044,458,0,3,455.0,185,124,74,48,2,14,0,-,-,8
282,Ossenkampstiege,1.237,264,0,1501,575,0,2,573.0,218,157,105,48,3,22,5,-,-,15
283,Am Dill,811,185,0,996,473,0,2,471.0,143,150,117,29,9,10,1,-,-,12
284,Rote Erde,879,123,0,1002,443,0,2,441.0,183,121,87,25,7,12,2,-,-,4
285,Hesselmann,1.208,147,0,1355,667,0,3,664.0,215,191,152,48,11,29,3,-,-,15
291,Havixbecker Straﬂe,1.511,221,0,1732,793,0,7,786.0,461,139,79,70,13,17,7,-,-,-
292,Altenroxeler Straﬂe,965,201,0,1166,404,0,1,403.0,194,107,48,34,6,13,1,-,-,-
293,Stellmacherweg,1.049,258,0,1307,548,0,1,547.0,284,116,51,68,11,16,1,-,-,-
294,Paul-Gerhardt-Straﬂe,853,169,0,1022,414,0,2,412.0,210,91,54,30,5,16,6,-,-,-
295,Schelmenstiege,1.049,267,0,1316,527,0,2,525.0,233,140,83,39,12,11,7,-,-,-
301,Bentelerstraﬂe,930,237,0,1167,396,0,1,395.0,91,120,96,42,8,11,2,-,-,25
302,Philippistraﬂe,679,141,0,820,235,0,1,234.0,55,65,70,15,0,15,2,-,-,12
303,Sentruper Hˆhe,1.239,421,0,166,622,0,5,617.0,238,150,114,75,8,9,4,-,-,19
304,Redigerstraﬂe,1.075,313,0,1388,760,0,3,757.0,319,139,185,81,9,9,5,-,-,10
311,Heekweg,703,134,0,837,207,0,1,206.0,53,43,56,24,4,16,0,-,-,10
312,N¸nningweg,892,258,0,115,534,0,1,533.0,202,110,131,49,7,22,7,-,-,5
313,Ramertsweg,887,198,0,1085,577,0,1,576.0,235,119,127,44,19,12,7,-,-,13
314,Dieckmannstraﬂe,1.544,164,0,1708,710,0,7,703.0,251,143,169,62,26,25,6,-,-,21
315,Doornbeckeweg,769,137,0,906,406,0,5,401.0,165,100,73,29,10,7,6,-,-,11
321,Legdenweg,1.408,175,0,1583,507,0,2,505.0,131,159,108,36,15,28,7,-,-,21
322,Gievenbecker Weg,813,184,0,997,449,0,3,446.0,140,118,90,55,10,8,12,-,-,13
323,Potstiege,1.245,285,0,153,679,0,5,674.0,231,173,97,110,8,32,3,-,-,20
324,Twenteweg,1.019,192,0,1211,447,0,3,444.0,147,92,91,62,13,16,17,-,-,6
325,Gescherweg,789,175,0,964,257,0,0,257.0,51,74,69,31,2,13,1,-,-,16
331,H‰ger,685,99,0,784,440,0,3,437.0,206,44,48,39,79,6,1,-,-,14
332,Sebastianstraﬂe,1.391,298,0,1689,749,0,6,743.0,328,168,93,103,16,10,4,-,-,21
333,Stefan-Zweig-Straﬂe,1.104,281,0,1385,593,0,7,586.0,280,120,87,49,17,18,0,-,-,15
334,Von-Schonebeck-Ring,1.136,285,0,1421,625,0,9,616.0,261,143,83,64,20,20,2,-,-,23
B527,Brief Albachten 1,0,0,0,0,397,0,7,390.0,179,84,63,53,1,6,4,-,-,-
B627,Brief Albachten 2,0,0,0,0,403,0,1,402.0,199,96,45,42,10,10,0,-,-,-
B528,Brief Mecklenbeck 1,0,0,0,0,452,0,0,452.0,204,79,70,72,4,13,3,-,-,7
B628,Brief Mecklenbeck 2,0,0,0,0,422,0,0,422.0,157,113,79,37,10,10,2,-,-,14
B529,Brief Roxel 1,0,0,0,0,565,0,4,561.0,325,106,48,55,14,11,2,-,-,-
B629,Brief Roxel 2,0,0,0,0,502,0,2,500.0,263,104,47,64,10,8,4,-,-,-
B530,Brief Sentrup 1,0,0,0,0,462,0,1,461.0,170,94,83,74,6,14,5,-,-,15
